FID,mslink,zona,tp_umidade,distr_umid,temperatur,desc_compl,the_geom
ClimadoBrasil_5000.14,2914,ilha,0,0,0,"Tropical Nordeste Oriental, quente - média > 18° C em todos os meses, super-úmido sem seca","MULTIPOLYGON (((-38.830999999999996 -13.089899999999998, -38.8191 -13.083099999999998, -38.8069 -13.0893, -38.8231 -13.1207, -38.854499999999994 -13.1085, -38.851499999999994 -13.093799999999998, -38.830999999999996 -13.089899999999998)))"
ClimadoBrasil_5000.15,518,ilha,0,0,0,"Tropical Brasil Central, quente - média > 18° C em todos os meses, úmido 1 a 2 meses secos","MULTIPOLYGON (((-43.232 -22.755699999999997, -43.2109 -22.74, -43.1963 -22.7411, -43.1902 -22.795599999999997, -43.202799999999996 -22.7977, -43.227199999999996 -22.782099999999996, -43.26389999999999 -22.775199999999998, -43.2592 -22.758399999999998, -43.232 -22.755699999999997)))"
ClimadoBrasil_5000.16,2819,ilha,0,0,0,"Temperado, subquente - média entre 15 e 18 ° C em pelo menos 1 mês, super-úmido sem seca","MULTIPOLYGON (((-47.69149999999999 -24.8251, -47.647499999999994 -24.805999999999997, -47.609399999999994 -24.768599999999996, -47.5618 -24.7445, -47.4719 -24.7163, -47.47709999999999 -24.733099999999997, -47.5995 -24.8036, -47.6615 -24.8497, -47.7656 -24.9199, -47.8838 -25.043799999999997, -47.89469999999999 -25.050599999999996, -47.903999999999996 -25.0474, -47.9008 -25.0172, -47.8503 -24.9361, -47.8339 -24.9225, -47.7806 -24.903299999999998, -47.7553 -24.872799999999998, -47.7241 -24.860699999999998, -47.69149999999999 -24.8251)))"
ClimadoBrasil_5000.17,2822,ilha,0,0,0,"Temperado, subquente - média entre 15 e 18 ° C em pelo menos 1 mês, super-úmido sem seca","MULTIPOLYGON (((-48.3561 -25.434799999999996, -48.3508 -25.411299999999997, -48.3271 -25.380899999999997, -48.299299999999995 -25.3772, -48.289199999999994 -25.4441, -48.299699999999994 -25.4895, -48.32749999999999 -25.496499999999997, -48.346199999999996 -25.485, -48.3561 -25.434799999999996)))"
ClimadoBrasil_5000.18,2823,ilha,0,0,0,"Temperado, subquente - média entre 15 e 18 ° C em pelo menos 1 mês, super-úmido sem seca","MULTIPOLYGON (((-48.328199999999995 -25.581999999999997, -48.3469 -25.575499999999998, -48.360299999999995 -25.542099999999998, -48.395799999999994 -25.5291, -48.4034 -25.5158, -48.3904 -25.508899999999997, -48.3589 -25.508599999999998, -48.3403 -25.5134, -48.315799999999996 -25.534899999999997, -48.328199999999995 -25.581999999999997)))"
ClimadoBrasil_5000.90,0,Tropical Brasil Central,úmido,3 meses secos,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, úmido 3 meses secos","MULTIPOLYGON (((-53.29535770834811 -16.596624767862533, -53.25944705834543 -16.600418785194496, -53.18430988813853 -16.61235276155921, -52.981604115311576 -16.636742170763135, -52.74055834606329 -16.67426951665164, -52.52407135127669 -16.737090700510834, -52.255025860843496 -16.797794032553142, -52.08458184959661 -16.865554145209046, -52.12323551277486 -16.897162783281853, -52.18856001619492 -16.945228600629818, -52.287062837195904 -16.967180014770367, -52.385723639961064 -16.973260391985054, -52.46219673891786 -17.010782464414973, -52.53317198912477 -17.05351382003157, -52.5656047541049 -17.11705826274829, -52.59805873771721 -17.18059788037249, -52.63602348667046 -17.244171707564465, -52.679545300565266 -17.30249977429583, -52.75099715795865 -17.297681646607263, -52.77860374060851 -17.276745605315238, -52.80640642251885 -17.224149379205652, -52.8670681918431 -17.182287247549212, -52.94929965529725 -17.20383937761877, -52.98736078438243 -17.272630560865874, -53.008964084019574 -17.34133461266774, -53.0853395459215 -17.45250837405941, -53.15654827368756 -17.5108678317741, -53.27212913219785 -17.49021723844824, -53.32179832977586 -17.442900726532166, -53.37153150444287 -17.369186676092124, -53.39399773360268 -17.22149769234154, -53.37801667520033 -17.07368973592453, -53.32358300953715 -16.95214080779103, -53.241796677329816 -16.835756685190226, -53.17646852017585 -16.735240375484974, -53.17117421011038 -16.693001481413575, -53.182305295486486 -16.650828676521996, -53.2316408812163 -16.635185221952934, -53.28640271512065 -16.630103858404727, -53.29197399525883 -16.60373609909519, -53.29535770834811 -16.596624767862533)))"
ClimadoBrasil_5000.83,0,Tropical Brasil Central,úmido,1 a 2 meses secos,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, úmido 1 a 2 meses secos","MULTIPOLYGON (((-43.7020662202826 -23.036907791469527, -43.72703555555555 -23.037816111111113, -43.83439856919037 -23.051226423674933, -43.93187361111111 -23.063401666666667, -43.99677549559092 -23.07685612432126, -44.0186152729789 -23.08138361011628, -44.018615277777776 -23.08138361111111, -44.02266083333333 -23.071546666666666, -44.02266073287512 -23.071546578236855, -44.018133611289386 -23.06756151335929, -43.98923527777778 -23.042123333333333, -43.92177916666667 -23.043097777777778, -43.914843936769856 -23.03454228128954, -43.91484388888889 -23.03454222222222, -43.92092161628417 -23.031143462317523, -43.92603416666667 -23.028284444444445, -43.92885428651043 -23.025306188961203, -43.933653034659095 -23.020238355401542, -43.93365305555555 -23.02023833333333, -43.92658111111111 -23.015003611111112, -43.92658111011137 -23.015003611411068, -43.847252222222224 -23.038805, -43.70612805555555 -23.015455833333334, -43.6982816865798 -23.01599945234603, -43.66725348215104 -23.01814929034593, -43.68448788913955 -23.036268259622798, -43.7020662202826 -23.036907791469527)))"
ClimadoBrasil_5000.19,0,Zona Econômica Exclusiva,0,0,0,Massa d'água,"MULTIPOLYGON (((-49.3846 7.051799999999999, -49.336999999999996 7.0188999999999995, -49.17509999999999 6.9003, -49.096999999999994 6.8373, -49.0085 6.7608, -48.8596 6.6229, -48.72 6.478599999999999, -48.6107 6.352099999999999, -48.5076 6.220299999999999, -48.396699999999996 6.068099999999999, -48.3227 5.956499999999999, -48.27009999999999 5.8709999999999996, -48.2202 5.783899999999999, -48.121199999999995 5.5904, -48.0145 5.3509, -47.9692 5.2429, -47.9062 5.0701, -47.847899999999996 4.8831999999999995, -47.80309999999999 4.7044999999999995, -47.7651 4.5127999999999995, -47.7354 4.3172999999999995, -47.722899999999996 4.2175, -47.631299999999996 4.133799999999999, -47.5594 4.0638, -47.42249999999999 3.9173999999999993, -47.30479999999999 3.7760999999999996, -47.185599999999994 3.6149999999999993, -47.0762 3.4466, -46.99289999999999 3.3015999999999996, -46.9169 3.1529999999999996, -46.82939999999999 2.9541, -46.793499999999995 2.8604, -46.7497 2.7337, -46.74139999999999 2.7173999999999996, -46.6274 2.6959999999999997, -46.513299999999994 2.6703, -46.4165 2.6451999999999996, -46.305099999999996 2.6121999999999996, -46.16289999999999 2.5639999999999996, -46.06969999999999 2.5284, -45.8713 2.4414999999999996, -45.75 2.4267999999999996, -45.635 2.4085, -45.5043 2.3828, -45.3908 2.3556, -45.294399999999996 2.3293999999999997, -45.1356 2.2796, -44.9638 2.2152, -44.826299999999996 2.1559999999999997, -44.6446 2.0664, -44.5452 2.0575, -44.4296 2.0429, -44.315 2.0244999999999997, -44.21659999999999 2.0052, -44.11919999999999 1.9831999999999999, -43.9906 1.9491, -43.800599999999996 1.8883, -43.7069 1.8537999999999997, -43.5376 1.783, -43.3731 1.7028999999999999, -43.198699999999995 1.6054, -43.008599999999994 1.4853999999999998, -42.87219999999999 1.3895, -42.78 1.3181999999999998, -42.69 1.2437999999999998, -42.5541 1.1206999999999998, -42.425399999999996 0.9895999999999999, -42.3578 0.9156999999999998, -42.323899999999995 0.8775, -42.181799999999996 0.8302999999999999, -41.994299999999996 0.7601, -41.70119999999999 0.6343, -41.6772 0.6264, -41.4835 0.6116999999999999, -41.3351 0.5929, -41.187799999999996 0.5671999999999999, -41.0092 0.5267999999999999, -40.895199999999996 0.5425, -40.7962 0.5529999999999999, -40.613499999999995 0.5646, -40.447399999999995 0.5660999999999999, -40.314099999999996 0.5614, -40.198499999999996 0.5529999999999999, -40.066199999999995 0.5383, -39.8553 0.5231, -39.7236 0.5068999999999999, -39.4471 0.4634, -39.2602 0.4256, -39.163399999999996 0.4021, -39.016999999999996 0.3617, -38.878 0.3170999999999999, -38.7374 0.2652, -38.6297 0.2202, -38.436499999999995 0.1311, -38.34949999999999 0.087, -38.18919999999999 -0.0016, -38.048 -0.0734, -37.8851 -0.1672, -37.7549 -0.2301, -37.6669 -0.2767999999999999, -37.550799999999995 -0.3428, -37.4519 -0.4046999999999999, -37.3555 -0.4697, -37.2602 -0.5389, -37.1618 -0.6007, -37.065 -0.6668, -36.9458 -0.7259999999999999, -36.8437 -0.7820999999999999, -36.6729 -0.8864, -36.4959 -1.0101, -36.351699999999994 -1.1227, -36.2756 -1.1877, -36.2132 -1.2433, -36.0943 -1.3593, -36.58 -4.6636, -36.60209999999999 -4.6565, -36.6688 -4.6084, -36.734899999999996 -4.5744, -36.842099999999995 -4.5352, -36.911899999999996 -4.5211, -36.9432 -4.5184999999999995, -36.956199999999995 -4.5081, -36.96659999999999 -4.4934, -37.03789999999999 -4.4083, -37.0702 -4.3785, -37.0988 -4.3565, -37.128499999999995 -4.337699999999999, -37.1764 -4.314699999999999, -37.227399999999996 -4.297999999999999, -37.2878 -4.2839, -37.3488 -4.2535, -37.3915 -4.238899999999999, -37.4071 -4.221699999999999, -37.4519 -4.154699999999999, -37.500299999999996 -4.1025, -37.5274 -4.0794999999999995, -37.5721 -4.050199999999999, -37.6117 -4.0302999999999995, -37.6539 -4.0150999999999994, -37.671099999999996 -4.0104, -37.7007 -3.9810999999999996, -37.782 -3.9125999999999994, -37.8137 -3.8802, -37.864799999999995 -3.8064999999999993, -37.922 -3.7421, -37.979299999999995 -3.671, -38.025099999999995 -3.6285999999999996, -38.0694 -3.5988, -38.086099999999995 -3.5736999999999997, -38.1288 -3.4941999999999998, -38.172999999999995 -3.4370999999999996, -38.21939999999999 -3.3941999999999997, -38.2719 -3.3566, -38.31929999999999 -3.3303999999999996, -38.3698 -3.311, -38.430699999999995 -3.2969, -38.4938 -3.2926999999999995, -38.50619999999999 -3.2853999999999997, -38.53119999999999 -3.2592, -38.565599999999996 -3.2293999999999996, -38.6109 -3.1995999999999998, -38.64319999999999 -3.1832999999999996, -38.6874 -3.1321, -38.7203 -3.1005999999999996, -38.74209999999999 -3.0839, -38.80409999999999 -3.0462, -38.852 -3.0246999999999997, -38.8942 -3.0105999999999997, -38.939499999999995 -2.9629999999999996, -39.00299999999999 -2.9084999999999996, -39.0629 -2.8682, -39.1113 -2.8457, -39.1722 -2.8152999999999997, -39.2222 -2.796, -39.263299999999994 -2.7855, -39.348699999999994 -2.73, -39.3951 -2.6943999999999995, -39.4325 -2.6713999999999998, -39.5502 -2.6199999999999997, -39.576299999999996 -2.6064, -39.671 -2.5441, -39.7918 -2.4855, -39.8413 -2.4671, -39.9152 -2.4471999999999996, -40.085 -2.4231, -40.138099999999994 -2.4116, -40.1922 -2.4069, -40.2375 -2.409, -40.355199999999996 -2.4052999999999995, -40.437999999999995 -2.3859999999999997, -40.491099999999996 -2.3811999999999998, -40.5182 -2.3817999999999997, -40.5843 -2.3907, -40.628 -2.4027, -40.675399999999996 -2.42, -40.7238 -2.4446, -40.815999999999995 -2.4519, -40.9295 -2.4504, -40.993 -2.4593, -41.027899999999995 -2.4682, -41.06229999999999 -2.4807, -41.079 -2.4880999999999998, -41.117 -2.4886, -41.1919 -2.4880999999999998, -41.267399999999995 -2.4833999999999996, -41.4476 -2.4912, -41.5012 -2.4524999999999997, -41.5627 -2.4173999999999998, -41.616299999999995 -2.3797, -41.6715 -2.3503, -41.7048 -2.3378, -41.747499999999995 -2.3262, -41.9417 -2.2906, -41.99479999999999 -2.2806999999999995, -42.7014 -2.1475999999999997, -42.757099999999994 -2.1203999999999996, -42.840399999999995 -2.0868999999999995, -42.8852 -2.0659, -42.94199999999999 -2.0361, -42.990399999999994 -2.0172, -43.036699999999996 -1.9952, -43.16329999999999 -1.9469999999999998, -43.2148 -1.9323, -43.282999999999994 -1.9212999999999998, -43.438199999999995 -1.8798999999999997, -43.6553 -1.7144, -43.698499999999996 -1.6814, -44.3702 -1.1668, -44.413399999999996 -1.1342999999999999, -44.621199999999995 -0.9754999999999999, -44.68939999999999 -0.9319999999999999, -44.7295 -0.9099999999999998, -44.78939999999999 -0.8868999999999999, -45.1684 -0.7762999999999999, -45.22 -0.7615999999999999, -46.0291 -0.5252, -46.0807 -0.51, -46.8961 -0.281, -46.9481 -0.2663, -47.19539999999999 -0.1966, -47.7505 -0.022, -47.802 -0.0063, -48.109199999999994 0.0902, -48.1165 0.0954, -48.43879999999999 0.4969, -48.47319999999999 0.5394, -49.004799999999996 1.2014, -49.0387 1.2437999999999998, -49.5708 1.9055999999999997, -49.605199999999996 1.9480999999999997, -49.6224 1.9685, -49.680699999999995 2.0250999999999997, -50.127399999999994 2.4478, -50.20869999999999 2.5524999999999998, -50.241499999999995 2.5959999999999996, -50.5362 2.9859999999999998, -50.5684 3.0414999999999996, -50.61059999999999 3.2226, -50.62519999999999 3.3383, -50.637699999999995 3.3941999999999997, -50.642399999999995 3.4576, -50.63819999999999 3.8468, -50.640299999999996 3.890199999999999, -50.6523 3.9775, -50.669999999999995 4.0653, -50.695499999999996 4.1443, -50.731899999999996 4.2269, -50.7538 4.276, -50.788199999999996 4.3492, -50.817299999999996 4.3941, -50.8897 4.4882, -50.94069999999999 4.537299999999999, -50.972 4.5656, -51.005799999999994 4.5912, -51.12559999999999 4.6716, -51.18599999999999 4.705, -51.2844 4.7865, -51.314099999999996 4.8053, -51.3572 4.8266, -49.3846 7.051799999999999)))"
ClimadoBrasil_5000.30,0,Zona Econômica Exclusiva,0,0,0,Massa d'água,"MULTIPOLYGON (((-36.03039999999999 -4.647099999999999, -35.968399999999995 -4.641299999999999, -35.907000000000004 -4.6455, -35.77889999999999 -4.6727, -35.7149 -4.6789, -35.6107 -4.707699999999999, -35.557599999999994 -4.7124, -35.5139 -4.7218, -35.4634 -4.739, -35.4201 -4.7594, -35.27439999999999 -4.81, -35.2275 -4.8325, -35.1895 -4.855499999999999, -35.1442 -4.883699999999999, -35.0937 -4.9201999999999995, -35.0494 -4.964099999999999, -35.0098 -5.016299999999999, -34.975 -5.0785, -34.952099999999994 -5.1457999999999995, -34.9448 -5.1808, -34.9385 -5.2345, -34.9328 -5.2539, -34.91349999999999 -5.2852, -34.8943 -5.3243, -34.8713 -5.393199999999999, -34.846399999999996 -5.4521999999999995, -34.82919999999999 -5.5257, -34.810900000000004 -5.5794999999999995, -34.8 -5.6238, -34.7938 -5.6775, -34.7875 -5.7166999999999994, -34.775 -5.7558, -34.7599 -5.8031999999999995, -34.7433 -5.835, -34.726099999999995 -5.876799999999999, -34.711999999999996 -5.9289, -34.6933 -6.029999999999999, -34.6719 -6.0706999999999995, -34.658899999999996 -6.1046, -34.639599999999994 -6.181699999999999, -34.610499999999995 -6.2467999999999995, -34.585499999999996 -6.3307, -34.573 -6.400999999999999, -34.564699999999995 -6.512499999999999, -34.545899999999996 -6.5625, -34.5334 -6.6151, -34.5209 -6.678599999999999, -34.46469999999999 -6.7665999999999995, -34.4449 -6.8065999999999995, -34.4272 -6.8571, -34.4178 -6.900799999999999, -34.41 -7.012699999999999, -34.398599999999995 -7.0663, -34.3949 -7.1114999999999995, -34.3965 -7.1568, -34.4064 -7.2259, -34.3991 -7.2795000000000005, -34.398599999999995 -7.3153999999999995, -34.4137 -7.529499999999999, -34.4204 -7.582499999999999, -34.6292 -7.609499999999999, -34.631299999999996 -7.592899999999999, -34.6157 -7.530499999999999, -34.6001 -7.318999999999999, -34.602199999999996 -7.2722, -34.6152 -7.227499999999999, -34.6136 -7.2114, -34.598 -7.147899999999999, -34.5969 -7.1037, -34.6006 -7.077699999999999, -34.6115 -7.043899999999999, -34.6152 -6.941399999999999, -34.625099999999996 -6.898199999999999, -34.644299999999994 -6.8576, -34.6855 -6.794099999999999, -34.7073 -6.765499999999999, -34.714099999999995 -6.748899999999999, -34.721399999999996 -6.704599999999999, -34.736999999999995 -6.6244, -34.7589 -6.5739, -34.764599999999994 -6.549499999999999, -34.7735 -6.4140999999999995, -34.7781 -6.387499999999999, -34.8005 -6.312, -34.8115 -6.2863999999999995, -34.8313 -6.255199999999999, -34.836999999999996 -6.2385, -34.8422 -6.193199999999999, -34.852599999999995 -6.1598, -34.863499999999995 -6.1364, -34.89529999999999 -6.0915, -34.8963 -6.038399999999999, -34.90989999999999 -5.963299999999999, -34.9208 -5.9289, -34.9505 -5.8747, -34.9567 -5.8522, -34.9734 -5.8001, -34.977599999999995 -5.792299999999999, -34.985899999999994 -5.748, -34.9942 -5.7223999999999995, -34.9974 -5.660299999999999, -35.004099999999994 -5.6343, -35.0145 -5.6092, -35.0348 -5.521, -35.0479 -5.4882, -35.0614 -5.465199999999999, -35.0661 -5.4407, -35.0817 -5.396299999999999, -35.11919999999999 -5.332699999999999, -35.1265 -5.3144, -35.134299999999996 -5.290399999999999, -35.1463 -5.1944, -35.154599999999995 -5.168799999999999, -35.175399999999996 -5.1296, -35.1989 -5.098299999999999, -35.218599999999995 -5.0774, -35.2405 -5.0602, -35.3249 -5.0085, -35.373799999999996 -4.988099999999999, -35.5102 -4.940599999999999, -35.532599999999995 -4.9281, -35.5665 -4.9155, -35.61019999999999 -4.9087, -35.636799999999994 -4.9098, -35.745599999999996 -4.8778999999999995, -35.7799 -4.8732, -35.8122 -4.8722, -35.944 -4.8435, -35.9794 -4.842899999999999, -36.0767 -4.856, -36.184999999999995 -4.893599999999999, -36.1902 -4.8946, -36.22409999999999 -4.8778999999999995, -36.2418 -4.8722, -36.268899999999995 -4.8664, -36.296499999999995 -4.8644, -36.4141 -4.8685, -36.496399999999994 -4.858099999999999, -36.537 -4.8602, -36.5792 -4.8701, -36.5943 -4.8690999999999995, -36.58 -4.6636, -36.5453 -4.6591, -36.4948 -4.656999999999999, -36.4011 -4.6674, -36.2788 -4.6638, -36.177699999999994 -4.676799999999999, -36.127199999999995 -4.6612, -36.083999999999996 -4.6533, -36.03039999999999 -4.647099999999999)))"
ClimadoBrasil_5000.414,557,Massa d'água,0,0,0,Massa d'água,"MULTIPOLYGON (((-53.9646 -2.2430999999999996, -53.9689 -2.2234, -53.971999999999994 -2.2092, -53.96319999999999 -2.1976, -53.955499999999994 -2.1987, -53.9482 -2.1997999999999998, -53.9306 -2.2289999999999996, -53.9389 -2.2792999999999997, -53.9508 -2.2857, -53.9709 -2.2834, -53.9646 -2.2430999999999996)))"
